Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8156,checkstyle,FooClass,0,1,1,0,0,0,2,15,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8157,checkstyle,InputFallThrough,9,19,147,56,95,0,672,2854,4,0,36,677,12,2.389955686853767,7.937961595273264,40.818316100443134,8643,387193,2131664467,31,336,8,12,14,33,8,6,4,0,0,0,0,0,0,0
8158,checkstyle,InputSimplifyBooleanReturn,7,15,27,0,4,61,131,738,5,0,14,117,9,2.871794871794872,10.564102564102564,53.94871794871795,449,2063,3629437,20,67,0,0,0,0,0,7,6,1,2,0,0,0,0,0
8159,checkstyle,DefaultComesLastCheckTest,5,30,109,507,0,0,388,2352,38,0,4,242,9,2.3181818181818183,7.309917355371901,33.80578512396694,997,6031,1279028912,21,212,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8160,checkstyle,InputIllegalTypeSimilarClassName,0,3,4,0,0,0,5,94,0,0,0,0,4,0,0,0,36,120,46,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8161,checkstyle,NNNNNN,0,5,5,0,4,52,34,130,0,0,4,0,4,0,0,0,127,589,1021,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8162,checkstyle,Outer,1,1,2,0,0,0,6,31,0,0,1,1,3,10,18,40,20,72,31,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8163,checkstyle,AssignClass,3,6,80,0,72,0,256,497,0,0,9,297,10,2.0134680134680134,5.367003367003367,21.144781144781145,2168,42342,1967129012,14,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8164,checkstyle,Configurable,1,6,8,0,0,478,51,594,0,0,1,0,5,0,0,0,57,261,255,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8165,checkstyle,SwitchHandler,7,24,47,8,0,280,114,993,10,0,2,54,9,4.351851851851852,14.351851851851851,69.24074074074075,452,2790,39922832,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8166,checkstyle,InputFileSetIllegalTokens,2,4,7,0,1,0,23,156,0,0,3,16,7,3.5,11.625,54.875,89,345,219,14,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8167,checkstyle,bug1260079,2,6,7,5,0,0,24,107,2,0,1,18,12,5,36.888888888888886,339,52,148,59,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8168,checkstyle,InputAnnotationUseStyleNoTrailingComma,0,7,7,14,0,0,31,116,0,0,0,0,8,0,0,0,66,194,72,12,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8169,checkstyle,InputIllegalTypeGenerics,5,28,61,0,0,151,106,740,1,0,3,36,9,10.722222222222221,38.666666666666664,193.38888888888889,569,3985,1278950846,23,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8170,checkstyle,JavadocTokenTypesTest,3,200,751,205,183,0,1437,10393,188,0,3,1507,9,1.80557398805574,4.568679495686795,15.218978102189782,37553,6142783,7642,20,1321,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8171,checkstyle,InputOuterTypeFilename5NameMismatch,0,1,1,0,0,0,2,42,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8172,checkstyle,Operation2,3,10,25,6,0,0,44,307,0,1,6,17,10,11.352941176470589,51.11764705882353,334.29411764705884,274,1274,6845,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8173,checkstyle,IFoo_NoWhitespaceBeforeDotAllowLineBreaks,1,2,2,0,0,94,21,156,0,0,1,0,3,0,0,0,13,35,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8174,checkstyle,SuppressionXpathRegressionExplicitTwo,1,6,11,0,0,0,12,152,0,0,2,1,5,58,134,400,115,531,1487,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8175,checkstyle,OuterClass,0,10,18,15,1,0,35,271,0,0,0,0,6,0,0,0,205,937,1870,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8176,checkstyle,InputHideUtilityClassConstructorPublic,2,4,7,0,1,0,14,162,0,0,3,6,6,7.833333333333333,21.5,84.83333333333333,100,458,896,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8177,checkstyle,OneStatementPerLineCheckTest,5,27,103,450,0,0,319,2018,36,0,4,229,9,2.393013100436681,7.781659388646288,36.71615720524017,850,3720,89334,20,200,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8178,checkstyle,SlistHandler,9,47,111,7,1,474,268,2114,22,0,5,137,11,4.240875912408759,15.233576642335766,81.4963503649635,1018,7534,-1811647970,34,177,0,0,0,0,0,2,1,6,1,0,0,0,0,0
8179,checkstyle,Ternary,1,6,9,0,6,0,26,104,0,0,5,36,8,2.5555555555555554,9.666666666666666,50.05555555555556,100,268,96,11,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8180,checkstyle,InputParameterNameSimplePub,8,21,27,0,0,320,112,662,0,0,23,23,9,7.304347826086956,20.782608695652176,104.08695652173913,544,4062,479372752,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8181,checkstyle,InputNestedIfDepth,2,3,3,0,0,0,100,300,0,0,2,64,9,2.65625,10.71875,60.96875,186,528,177,8,20,0,0,0,0,0,17,11,0,0,0,0,0,0,0
8182,checkstyle,SummaryJavadocCheck,10,87,273,97,12,2094,867,5750,65,2,12,476,16,3.2247899159663866,13.951680672268907,102.8172268907563,2405,19337,862518034,43,429,0,0,4,3,0,14,6,6,0,0,0,0,0,0
8183,checkstyle,InputImportOrderBug,1,5,8,50,0,0,23,166,0,0,0,10,8,6,24.2,136.8,69,229,99,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8184,checkstyle,FooForTestDot,0,1,1,0,0,0,2,24,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8185,checkstyle,HeaderCheckTest,19,80,406,2475,0,0,1107,8290,137,0,18,932,14,2.663090128755365,10.24892703862661,59.61158798283262,3796,27682,2076242556,29,723,8,8,0,0,0,0,0,0,0,0,0,1,0,1
8186,checkstyle,Nested2,0,2,2,0,0,0,4,29,0,0,0,0,3,0,0,0,17,65,29,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
